Sample,Time,Decoder,Ann Row,Ann Class,Value,
322674,3.227 ms,SPI,MOSI data,MOSI data,00,
323058,3.231 ms,SPI,MOSI data,MOSI data,82,
323474,3.235 ms,SPI,MOSI data,MOSI data,00,
323858,3.239 ms,SPI,MOSI data,MOSI data,89,
324274,3.243 ms,SPI,MOSI data,MOSI data,2B,
324690,3.247 ms,SPI,MOSI data,MOSI data,00,
325074,3.251 ms,SPI,MOSI data,MOSI data,82,
325490,3.255 ms,SPI,MOSI data,MOSI data,00,
325874,3.259 ms,SPI,MOSI data,MOSI data,89,
326290,3.263 ms,SPI,MOSI data,MOSI data,2C,
326809,3.268 ms,SPI,MOSI data,MOSI data,00,
327065,3.271 ms,SPI,MOSI data,MOSI data,1F,
327321,3.273 ms,SPI,MOSI data,MOSI data,00,
327577,3.276 ms,SPI,MOSI data,MOSI data,1F,
327833,3.278 ms,SPI,MOSI data,MOSI data,00,
328089,3.281 ms,SPI,MOSI data,MOSI data,1F,
328345,3.283 ms,SPI,MOSI data,MOSI data,00,
328601,3.286 ms,SPI,MOSI data,MOSI data,1F,
328857,3.289 ms,SPI,MOSI data,MOSI data,07,
329113,3.291 ms,SPI,MOSI data,MOSI data,E0,
329369,3.294 ms,SPI,MOSI data,MOSI data,07,
329625,3.296 ms,SPI,MOSI data,MOSI data,E0,
329881,3.299 ms,SPI,MOSI data,MOSI data,07,
330137,3.301 ms,SPI,MOSI data,MOSI data,E0,
330393,3.304 ms,SPI,MOSI data,MOSI data,07,
330649,3.306 ms,SPI,MOSI data,MOSI data,E0,
330905,3.309 ms,SPI,MOSI data,MOSI data,07,
331161,3.312 ms,SPI,MOSI data,MOSI data,E0,
331417,3.314 ms,SPI,MOSI data,MOSI data,07,
331673,3.317 ms,SPI,MOSI data,MOSI data,E0,
331929,3.319 ms,SPI,MOSI data,MOSI data,07,
332185,3.322 ms,SPI,MOSI data,MOSI data,E0,
332441,3.324 ms,SPI,MOSI data,MOSI data,07,
332697,3.327 ms,SPI,MOSI data,MOSI data,E0,
332953,3.330 ms,SPI,MOSI data,MOSI data,07,
333209,3.332 ms,SPI,MOSI data,MOSI data,E0,
333465,3.335 ms,SPI,MOSI data,MOSI data,07,
333721,3.337 ms,SPI,MOSI data,MOSI data,E0,
333977,3.340 ms,SPI,MOSI data,MOSI data,07,
334233,3.342 ms,SPI,MOSI data,MOSI data,E0,
334489,3.345 ms,SPI,MOSI data,MOSI data,07,
334745,3.347 ms,SPI,MOSI data,MOSI data,E0,
335001,3.350 ms,SPI,MOSI data,MOSI data,07,
335257,3.353 ms,SPI,MOSI data,MOSI data,E0,
335513,3.355 ms,SPI,MOSI data,MOSI data,07,
335769,3.358 ms,SPI,MOSI data,MOSI data,E0,
336025,3.360 ms,SPI,MOSI data,MOSI data,07,
336281,3.363 ms,SPI,MOSI data,MOSI data,E0,
336537,3.365 ms,SPI,MOSI data,MOSI data,07,
336793,3.368 ms,SPI,MOSI data,MOSI data,E0,
337049,3.370 ms,SPI,MOSI data,MOSI data,07,
337305,3.373 ms,SPI,MOSI data,MOSI data,E0,
337561,3.376 ms,SPI,MOSI data,MOSI data,07,
337817,3.378 ms,SPI,MOSI data,MOSI data,E0,
338073,3.381 ms,SPI,MOSI data,MOSI data,07,
338329,3.383 ms,SPI,MOSI data,MOSI data,E0,
338585,3.386 ms,SPI,MOSI data,MOSI data,07,
338841,3.388 ms,SPI,MOSI data,MOSI data,E0,
339097,3.391 ms,SPI,MOSI data,MOSI data,07,
339353,3.394 ms,SPI,MOSI data,MOSI data,E0,
339609,3.396 ms,SPI,MOSI data,MOSI data,07,
339865,3.399 ms,SPI,MOSI data,MOSI data,E0,
340121,3.401 ms,SPI,MOSI data,MOSI data,07,
340377,3.404 ms,SPI,MOSI data,MOSI data,E0,
340633,3.406 ms,SPI,MOSI data,MOSI data,07,
340889,3.409 ms,SPI,MOSI data,MOSI data,E0,
341145,3.411 ms,SPI,MOSI data,MOSI data,07,
341401,3.414 ms,SPI,MOSI data,MOSI data,E0,
341657,3.417 ms,SPI,MOSI data,MOSI data,07,
341913,3.419 ms,SPI,MOSI data,MOSI data,E0,
342169,3.422 ms,SPI,MOSI data,MOSI data,07,
342425,3.424 ms,SPI,MOSI data,MOSI data,E0,
342681,3.427 ms,SPI,MOSI data,MOSI data,07,
342937,3.429 ms,SPI,MOSI data,MOSI data,E0,
343193,3.432 ms,SPI,MOSI data,MOSI data,07,
343449,3.434 ms,SPI,MOSI data,MOSI data,E0,
343705,3.437 ms,SPI,MOSI data,MOSI data,07,
343961,3.440 ms,SPI,MOSI data,MOSI data,E0,
344217,3.442 ms,SPI,MOSI data,MOSI data,07,
344473,3.445 ms,SPI,MOSI data,MOSI data,E0,
344729,3.447 ms,SPI,MOSI data,MOSI data,07,
344985,3.450 ms,SPI,MOSI data,MOSI data,E0,
345241,3.452 ms,SPI,MOSI data,MOSI data,07,
345497,3.455 ms,SPI,MOSI data,MOSI data,E0,
345753,3.458 ms,SPI,MOSI data,MOSI data,07,
346009,3.460 ms,SPI,MOSI data,MOSI data,E0,
346265,3.463 ms,SPI,MOSI data,MOSI data,07,
346521,3.465 ms,SPI,MOSI data,MOSI data,E0,
346777,3.468 ms,SPI,MOSI data,MOSI data,07,
347033,3.470 ms,SPI,MOSI data,MOSI data,E0,
347289,3.473 ms,SPI,MOSI data,MOSI data,07,
347545,3.475 ms,SPI,MOSI data,MOSI data,E0,
347801,3.478 ms,SPI,MOSI data,MOSI data,07,
348057,3.481 ms,SPI,MOSI data,MOSI data,E0,
348313,3.483 ms,SPI,MOSI data,MOSI data,07,
348569,3.486 ms,SPI,MOSI data,MOSI data,E0,
348825,3.488 ms,SPI,MOSI data,MOSI data,07,
349081,3.491 ms,SPI,MOSI data,MOSI data,E0,
349337,3.493 ms,SPI,MOSI data,MOSI data,07,
349593,3.496 ms,SPI,MOSI data,MOSI data,E0,
349849,3.498 ms,SPI,MOSI data,MOSI data,07,
350105,3.501 ms,SPI,MOSI data,MOSI data,E0,
350361,3.504 ms,SPI,MOSI data,MOSI data,07,
350617,3.506 ms,SPI,MOSI data,MOSI data,E0,
350873,3.509 ms,SPI,MOSI data,MOSI data,07,
351129,3.511 ms,SPI,MOSI data,MOSI data,E0,
351385,3.514 ms,SPI,MOSI data,MOSI data,07,
351641,3.516 ms,SPI,MOSI data,MOSI data,E0,
351897,3.519 ms,SPI,MOSI data,MOSI data,07,
352153,3.522 ms,SPI,MOSI data,MOSI data,E0,
352409,3.524 ms,SPI,MOSI data,MOSI data,07,
352665,3.527 ms,SPI,MOSI data,MOSI data,E0,
352921,3.529 ms,SPI,MOSI data,MOSI data,07,
353177,3.532 ms,SPI,MOSI data,MOSI data,E0,
353433,3.534 ms,SPI,MOSI data,MOSI data,07,
353689,3.537 ms,SPI,MOSI data,MOSI data,E0,
353945,3.539 ms,SPI,MOSI data,MOSI data,07,
