Sample,Time,Decoder,Ann Row,Ann Class,Value,
298933,2.989 ms,SPI,MOSI data,MOSI data,00,
299189,2.992 ms,SPI,MOSI data,MOSI data,F8,
299445,2.994 ms,SPI,MOSI data,MOSI data,00,
299701,2.997 ms,SPI,MOSI data,MOSI data,F8,
299957,3.000 ms,SPI,MOSI data,MOSI data,00,
300213,3.002 ms,SPI,MOSI data,MOSI data,F8,
300469,3.005 ms,SPI,MOSI data,MOSI data,00,
300725,3.007 ms,SPI,MOSI data,MOSI data,F8,
300981,3.010 ms,SPI,MOSI data,MOSI data,00,
301237,3.012 ms,SPI,MOSI data,MOSI data,F8,
301493,3.015 ms,SPI,MOSI data,MOSI data,00,
301749,3.017 ms,SPI,MOSI data,MOSI data,F8,
302005,3.020 ms,SPI,MOSI data,MOSI data,00,
302261,3.023 ms,SPI,MOSI data,MOSI data,F8,
302517,3.025 ms,SPI,MOSI data,MOSI data,00,
302773,3.028 ms,SPI,MOSI data,MOSI data,F8,
303029,3.030 ms,SPI,MOSI data,MOSI data,00,
303285,3.033 ms,SPI,MOSI data,MOSI data,F8,
303541,3.035 ms,SPI,MOSI data,MOSI data,00,
303797,3.038 ms,SPI,MOSI data,MOSI data,F8,
304053,3.041 ms,SPI,MOSI data,MOSI data,00,
304309,3.043 ms,SPI,MOSI data,MOSI data,F8,
304565,3.046 ms,SPI,MOSI data,MOSI data,00,
304821,3.048 ms,SPI,MOSI data,MOSI data,F8,
305077,3.051 ms,SPI,MOSI data,MOSI data,00,
305333,3.053 ms,SPI,MOSI data,MOSI data,F8,
305589,3.056 ms,SPI,MOSI data,MOSI data,00,
305845,3.058 ms,SPI,MOSI data,MOSI data,F8,
306101,3.061 ms,SPI,MOSI data,MOSI data,00,
306357,3.064 ms,SPI,MOSI data,MOSI data,F8,
306613,3.066 ms,SPI,MOSI data,MOSI data,00,
306869,3.069 ms,SPI,MOSI data,MOSI data,F8,
307125,3.071 ms,SPI,MOSI data,MOSI data,00,
307381,3.074 ms,SPI,MOSI data,MOSI data,F8,
307637,3.076 ms,SPI,MOSI data,MOSI data,00,
307893,3.079 ms,SPI,MOSI data,MOSI data,F8,
308149,3.081 ms,SPI,MOSI data,MOSI data,00,
308405,3.084 ms,SPI,MOSI data,MOSI data,F8,
308661,3.087 ms,SPI,MOSI data,MOSI data,00,
308917,3.089 ms,SPI,MOSI data,MOSI data,F8,
309173,3.092 ms,SPI,MOSI data,MOSI data,00,
309429,3.094 ms,SPI,MOSI data,MOSI data,F8,
309685,3.097 ms,SPI,MOSI data,MOSI data,00,
309941,3.099 ms,SPI,MOSI data,MOSI data,F8,
310197,3.102 ms,SPI,MOSI data,MOSI data,00,
310453,3.105 ms,SPI,MOSI data,MOSI data,F8,
310709,3.107 ms,SPI,MOSI data,MOSI data,00,
310965,3.110 ms,SPI,MOSI data,MOSI data,F8,
311221,3.112 ms,SPI,MOSI data,MOSI data,00,
311477,3.115 ms,SPI,MOSI data,MOSI data,F8,
311733,3.117 ms,SPI,MOSI data,MOSI data,00,
311989,3.120 ms,SPI,MOSI data,MOSI data,F8,
312245,3.122 ms,SPI,MOSI data,MOSI data,00,
312501,3.125 ms,SPI,MOSI data,MOSI data,F8,
312757,3.128 ms,SPI,MOSI data,MOSI data,00,
313013,3.130 ms,SPI,MOSI data,MOSI data,F8,
313269,3.133 ms,SPI,MOSI data,MOSI data,00,
313525,3.135 ms,SPI,MOSI data,MOSI data,F8,
313781,3.138 ms,SPI,MOSI data,MOSI data,00,
314037,3.140 ms,SPI,MOSI data,MOSI data,F8,
314293,3.143 ms,SPI,MOSI data,MOSI data,00,
314549,3.145 ms,SPI,MOSI data,MOSI data,F8,
314805,3.148 ms,SPI,MOSI data,MOSI data,00,
315061,3.151 ms,SPI,MOSI data,MOSI data,F8,
315317,3.153 ms,SPI,MOSI data,MOSI data,00,
315573,3.156 ms,SPI,MOSI data,MOSI data,F8,
315829,3.158 ms,SPI,MOSI data,MOSI data,00,
316085,3.161 ms,SPI,MOSI data,MOSI data,F8,
316341,3.163 ms,SPI,MOSI data,MOSI data,00,
316597,3.166 ms,SPI,MOSI data,MOSI data,F8,
316853,3.169 ms,SPI,MOSI data,MOSI data,00,
317109,3.171 ms,SPI,MOSI data,MOSI data,F8,
317365,3.174 ms,SPI,MOSI data,MOSI data,00,
317621,3.176 ms,SPI,MOSI data,MOSI data,F8,
317877,3.179 ms,SPI,MOSI data,MOSI data,00,
318133,3.181 ms,SPI,MOSI data,MOSI data,F8,
318389,3.184 ms,SPI,MOSI data,MOSI data,00,
318645,3.186 ms,SPI,MOSI data,MOSI data,F8,
318901,3.189 ms,SPI,MOSI data,MOSI data,00,
319157,3.192 ms,SPI,MOSI data,MOSI data,F8,
319413,3.194 ms,SPI,MOSI data,MOSI data,00,
319669,3.197 ms,SPI,MOSI data,MOSI data,F8,
319925,3.199 ms,SPI,MOSI data,MOSI data,00,
320181,3.202 ms,SPI,MOSI data,MOSI data,F8,
320437,3.204 ms,SPI,MOSI data,MOSI data,00,
320693,3.207 ms,SPI,MOSI data,MOSI data,F8,
320949,3.209 ms,SPI,MOSI data,MOSI data,00,
321205,3.212 ms,SPI,MOSI data,MOSI data,F8,
321461,3.215 ms,SPI,MOSI data,MOSI data,00,
321717,3.217 ms,SPI,MOSI data,MOSI data,F8,
321973,3.220 ms,SPI,MOSI data,MOSI data,00,
322229,3.222 ms,SPI,MOSI data,MOSI data,F8,
322485,3.225 ms,SPI,MOSI data,MOSI data,00,
322741,3.227 ms,SPI,MOSI data,MOSI data,F8,
322997,3.230 ms,SPI,MOSI data,MOSI data,00,
323253,3.233 ms,SPI,MOSI data,MOSI data,F8,
323509,3.235 ms,SPI,MOSI data,MOSI data,00,
323765,3.238 ms,SPI,MOSI data,MOSI data,F8,
324021,3.240 ms,SPI,MOSI data,MOSI data,00,
324508,3.245 ms,SPI,MOSI data,MOSI data,2A,
324924,3.249 ms,SPI,MOSI data,MOSI data,00,
325308,3.253 ms,SPI,MOSI data,MOSI data,82,
325724,3.257 ms,SPI,MOSI data,MOSI data,00,
326108,3.261 ms,SPI,MOSI data,MOSI data,89,
326524,3.265 ms,SPI,MOSI data,MOSI data,2B,
326940,3.269 ms,SPI,MOSI data,MOSI data,00,
327324,3.273 ms,SPI,MOSI data,MOSI data,82,
327740,3.277 ms,SPI,MOSI data,MOSI data,00,
328124,3.281 ms,SPI,MOSI data,MOSI data,89,
328540,3.285 ms,SPI,MOSI data,MOSI data,2C,
329062,3.291 ms,SPI,MOSI data,MOSI data,00,
329318,3.293 ms,SPI,MOSI data,MOSI data,1F,
329574,3.296 ms,SPI,MOSI data,MOSI data,00,
329830,3.298 ms,SPI,MOSI data,MOSI data,1F,
330086,3.301 ms,SPI,MOSI data,MOSI data,00,
330342,3.303 ms,SPI,MOSI data,MOSI data,1F,
330598,3.306 ms,SPI,MOSI data,MOSI data,00,
330854,3.309 ms,SPI,MOSI data,MOSI data,1F,
331110,3.311 ms,SPI,MOSI data,MOSI data,00,
331366,3.314 ms,SPI,MOSI data,MOSI data,1F,
331622,3.316 ms,SPI,MOSI data,MOSI data,00,
331878,3.319 ms,SPI,MOSI data,MOSI data,1F,
332134,3.321 ms,SPI,MOSI data,MOSI data,00,
332390,3.324 ms,SPI,MOSI data,MOSI data,1F,
332646,3.326 ms,SPI,MOSI data,MOSI data,00,
332902,3.329 ms,SPI,MOSI data,MOSI data,1F,
333158,3.332 ms,SPI,MOSI data,MOSI data,00,
333414,3.334 ms,SPI,MOSI data,MOSI data,1F,
333670,3.337 ms,SPI,MOSI data,MOSI data,00,
333926,3.339 ms,SPI,MOSI data,MOSI data,1F,
334182,3.342 ms,SPI,MOSI data,MOSI data,00,
334438,3.344 ms,SPI,MOSI data,MOSI data,1F,
334694,3.347 ms,SPI,MOSI data,MOSI data,00,
334950,3.350 ms,SPI,MOSI data,MOSI data,1F,
